category,main_category,goal,outcome,backers,country
Camera Equipment,Technology,10500,successful,130,US
Documentary,Film & Video,1500,failed,4,US
Product Design,Design,30000,failed,101,AU
Product Design,Design,100000,successful,4833,US
Fiction,Publishing,12500,failed,2,US
Documentary,Film & Video,75000,successful,768,US
Indie Rock,Music,700,successful,8,US
Tabletop Games,Games,7500,successful,135,GB
Theater,Theater,1962,successful,59,GB
Software,Technology,25000,canceled,8,US
Photobooks,Photography,24000,successful,109,US
Design,Design,1500,failed,24,CA
Technology,Technology,50000,failed,1,AU
Webseries,Film & Video,1000,successful,14,US
Documentary,Film & Video,50000,failed,4,US
Film & Video,Film & Video,5000,successful,69,US
Comics,Comics,10000,failed,70,US
Web,Technology,5000,canceled,0,US
Fashion,Fashion,3000,failed,35,US
Product Design,Design,1000,successful,43,CA
Film & Video,Film & Video,17,successful,1,US
Mixed Media,Art,8000,failed,40,US
Product Design,Design,75000,failed,13,US
Documentary,Film & Video,5000,failed,0,US
Rock,Music,2500,successful,123,GB
Comic Books,Comics,2000,canceled,6,US
Publishing,Publishing,100,failed,3,US
Nonfiction,Publishing,5000,failed,3,US
Art,Art,625,successful,30,US
Comedy,Film & Video,200,successful,13,GB
Farms,Food,15000,failed,1,US
Theater,Theater,9999,failed,23,US
Art,Art,500,failed,0,US
Sound,Technology,7000,successful,100,NZ
Sound,Technology,15000,successful,678,US
Product Design,Design,50000,canceled,353,US
Faith,Music,10000,failed,3,US
Nature,Photography,5000,failed,0,AU
Restaurants,Food,10000,failed,1,US
Gaming Hardware,Games,750,successful,10,US
Mixed Media,Art,2240,canceled,0,US
Photobooks,Photography,24000,successful,289,US
Product Design,Design,2000,failed,51,CA
Rock,Music,4000,successful,80,US
Product Design,Design,15000,successful,2188,US
Video Games,Games,10000,failed,2,FR
Music,Music,317500,failed,9,US
Documentary,Film & Video,289400,canceled,391,US
Comics,Comics,200,successful,25,US
Food,Food,3000,failed,2,US
Academic,Publishing,3000,failed,0,US
Music,Music,10000,failed,0,US
Nonfiction,Publishing,5500,failed,2,US
Pop,Music,6000,successful,7,US
Product Design,Design,40000,successful,2384,MX
Theater,Theater,3000,successful,42,US
Comics,Comics,300,successful,45,GB
Product Design,Design,25000,failed,65,US
Gaming Hardware,Games,1250,failed,6,GB
Hip-Hop,Music,2800,successful,13,US
Narrative Film,Film & Video,6500,failed,18,US
Rock,Music,4000,successful,74,US
Cookbooks,Food,1000,failed,2,US
Technology,Technology,250000,canceled,6,US
Architecture,Design,300000,failed,1,US
Tabletop Games,Games,20000,successful,1463,US
Design,Design,8000,failed,2,US
Wearables,Technology,200000,failed,0,DE
Young Adult,Publishing,5000,failed,1,GB
Theater,Theater,100,successful,20,US
Tabletop Games,Games,500,successful,146,US
Accessories,Fashion,80000,canceled,6,US
Photography,Photography,3850,successful,67,US
Theater,Theater,500,failed,13,US
Gaming Hardware,Games,30000,canceled,5,US
Shorts,Film & Video,1000,failed,1,US
Sculpture,Art,49,failed,0,DE
Music Videos,Film & Video,1250,failed,0,GB
Theater,Theater,2000,successful,58,US
Indie Rock,Music,15400,successful,195,US
Apps,Technology,1500,successful,13,US
Food,Food,25000,failed,6,US
Art,Art,5000,failed,1,GB
Mixed Media,Art,3000,failed,1,NL
Design,Design,1500,successful,157,US
Food,Food,2000,failed,1,US
Film & Video,Film & Video,50000,failed,0,US
Video Games,Games,100000,canceled,0,US
Jewelry,Fashion,3000,failed,6,IT
Small Batch,Food,3000,failed,15,US
Webseries,Film & Video,500,failed,6,GB
Indie Rock,Music,2500,successful,51,US
Publishing,Publishing,15000,successful,152,US
Software,Technology,500000,failed,0,GB
Crafts,Crafts,500,failed,1,US
Fiction,Publishing,3500,successful,35,US
Documentary,Film & Video,17500,failed,6,US
Nature,Photography,3000,successful,69,US
Music,Music,10000,failed,18,US
Print,Journalism,8000,canceled,1,US
Product Design,Design,2000,successful,142,NL
World Music,Music,2222,successful,75,US
Periodicals,Publishing,100000,successful,2272,US
Art,Art,30000,failed,2,IT
Music,Music,1000,failed,1,US
Product Design,Design,15500,failed,5,US
Publishing,Publishing,15000,successful,127,US
Music,Music,3000,failed,8,US
Restaurants,Food,100000,failed,0,US
Rock,Music,5000,successful,42,US
Indie Rock,Music,25000,successful,578,US
Publishing,Publishing,5000,failed,1,US
Hardware,Technology,25000,canceled,39,GB
Tabletop Games,Games,500,successful,27,ES
Design,Design,500,canceled,0,US
Spaces,Food,50000,successful,108,US
Comics,Comics,3000,successful,67,US
Performances,Dance,12900,successful,256,US
Webseries,Film & Video,3000,failed,1,US
Accessories,Fashion,900,failed,6,IE
Nonfiction,Publishing,5500,failed,0,US
Performance Art,Art,600,successful,11,US
Music,Music,40000,successful,146,US
Shorts,Film & Video,50000,failed,1,US
Painting,Art,10000,failed,3,US
Public Art,Art,6000,failed,67,GB
Product Design,Design,300,failed,0,US
Narrative Film,Film & Video,9000,failed,15,US
Hardware,Technology,20000,failed,30,NL
Web,Journalism,10000,successful,257,US
Playing Cards,Games,600,failed,18,US
Restaurants,Food,500000,failed,1,US
Hardware,Technology,133000,failed,6,DE
Live Games,Games,3500,failed,0,US
Art,Art,20000,failed,1,US
Tabletop Games,Games,57611,successful,713,US
Public Art,Art,4500,successful,117,US
DIY Electronics,Technology,28500,canceled,7,GB
Documentary,Film & Video,12000,failed,14,GB
Academic,Publishing,5000,failed,0,US
Children's Books,Publishing,10000,canceled,0,US
Music,Music,5000,successful,961,US
Video Games,Games,3000,successful,20,US
Documentary,Film & Video,110,failed,8,GB
Tabletop Games,Games,12000,failed,136,GB
Gadgets,Technology,100000,failed,1,US
Candles,Crafts,1500,successful,22,US
Documentary,Film & Video,679000,failed,8,US
Music,Music,2500,canceled,0,"N,0"""
Fiction,Publishing,5000,failed,0,US
Accessories,Fashion,1500,failed,1,US
Product Design,Design,3000,failed,8,US
Electronic Music,Music,2500,successful,79,GB
Food,Food,500,successful,47,US
Rock,Music,4000,failed,27,US
Film & Video,Film & Video,2000,successful,32,US
Film & Video,Film & Video,30,failed,0,US
Documentary,Film & Video,15000,failed,1,US
Video Games,Games,1500,successful,35,US
Apps,Technology,50000,failed,0,US
Fiction,Publishing,3500,successful,121,US
Farms,Food,300,failed,4,US
Gadgets,Technology,7500,failed,11,US
Electronic Music,Music,2500,failed,1,US
Gadgets,Technology,25000,failed,17,US
Product Design,Design,500,canceled,1,US
Tabletop Games,Games,30000,failed,236,US
Classical Music,Music,35000,successful,267,US
Documentary,Film & Video,3500,failed,2,US
Hardware,Technology,20000,failed,12,US
Fiction,Publishing,5000,failed,0,US
Video Games,Games,25000,canceled,3,US
Music,Music,10000,failed,31,US
Electronic Music,Music,1000,successful,19,US
Apparel,Fashion,200,failed,0,US
Farmer's Markets,Food,7500,failed,3,US
Photobooks,Photography,1,failed,0,US
Art,Art,10000,canceled,0,US
Digital Art,Art,400000,failed,0,IT
Fiction,Publishing,2500,failed,7,US
Drama,Film & Video,65000,canceled,0,US
Apparel,Fashion,5000,failed,1,US
Photobooks,Photography,5000,failed,5,DK
Art,Art,1600,failed,1,US
Performance Art,Art,750,successful,14,US
Video Games,Games,7500,failed,1,CA
Design,Design,10000,failed,3,US
Journalism,Journalism,40000,failed,42,US
DIY,Crafts,6000,canceled,1,US
Food,Food,6000,canceled,4,US
Product Design,Design,7000,failed,4,US
Illustration,Art,4350,failed,2,US
Theater,Theater,3000,successful,23,US
Musical,Theater,1000,successful,33,US
Nonfiction,Publishing,3500,successful,63,US
Hardware,Technology,11500,failed,1,DE
Horror,Film & Video,700,failed,4,GB
Painting,Art,1500,failed,0,GB
Tabletop Games,Games,10000,failed,5,US
Comics,Comics,7500,failed,10,US
Technology,Technology,20000,failed,1,US
Rock,Music,2250,successful,86,US
Poetry,Publishing,1000,successful,40,US
Apps,Technology,494270,canceled,4,US
Apparel,Fashion,2000,canceled,2,AU
Indie Rock,Music,12999,failed,3,US
Webseries,Film & Video,10000,failed,90,US
Music,Music,500,failed,3,US
Nonfiction,Publishing,2000,failed,5,US
Music,Music,800,failed,4,US
Video Games,Games,65000,failed,11,US
Anthologies,Publishing,30645,successful,495,US
Product Design,Design,23500,successful,4903,US
Food,Food,300,failed,5,US
Indie Rock,Music,12300,failed,5,US
Country & Folk,Music,1000,successful,81,US
Apps,Technology,200,failed,2,US
Footwear,Fashion,25000,successful,409,US
Documentary,Film & Video,25000,successful,129,US
Software,Technology,14000,failed,10,CA
Performance Art,Art,150000,failed,3,US
Nonfiction,Publishing,3500,successful,39,US
Music,Music,8000,successful,125,US
Video Games,Games,15000,failed,20,US
Web,Technology,30000,canceled,8,GB
Tabletop Games,Games,15000,successful,285,US
Video Games,Games,80000,failed,7,CA
Web,Technology,10000,failed,0,US
Music,Music,1000,failed,0,US
Fashion,Fashion,10000,successful,253,US
Product Design,Design,10000,successful,231,US
Puzzles,Games,50000,failed,3,US
Nonfiction,Publishing,40000,successful,157,US
Documentary,Film & Video,30000,successful,193,US
Video Games,Games,1200,successful,31,US
Music,Music,1000,successful,67,US
Webseries,Film & Video,5000,failed,0,GB
Live Games,Games,52000,canceled,2,US
Music,Music,2000,failed,18,US
Food,Food,10000,failed,1,US
Narrative Film,Film & Video,500,successful,29,US
Technology,Technology,3700,canceled,17,US
Music,Music,40000,successful,165,US
Country & Folk,Music,4500,failed,0,US
Software,Technology,5000,successful,900,CA
Pop,Music,500,failed,0,GB
Hardware,Technology,25000,failed,0,AU
Tabletop Games,Games,8000,successful,251,US
Hardware,Technology,1000,successful,20,US
Jazz,Music,8000,successful,113,NL
Fiction,Publishing,3570,failed,0,US
Documentary,Film & Video,75000,failed,41,US
Shorts,Film & Video,1000,successful,20,US
Shorts,Film & Video,10000,successful,113,US
Tabletop Games,Games,48000,failed,165,AU
Wearables,Technology,15000,failed,10,US
Software,Technology,800,failed,0,GB
Nonfiction,Publishing,5000,failed,2,US
Public Art,Art,2500,successful,25,US
Fiction,Publishing,2000,failed,0,US
Product Design,Design,20000,failed,5,US
Crafts,Crafts,1239,failed,3,US
Music,Music,25000,failed,4,US
Gaming Hardware,Games,150000,failed,108,US
Theater,Theater,10000,failed,17,US
Food,Food,11000,failed,0,US
Jewelry,Fashion,1925,failed,4,US
Documentary,Film & Video,37500,successful,518,US
Comic Books,Comics,3000,successful,74,GB
Web,Technology,15000,failed,0,DE
Immersive,Theater,10000,successful,112,US
Product Design,Design,10000,failed,105,US
Science Fiction,Film & Video,125000,canceled,0,US
Pop,Music,2000,failed,7,US
Gadgets,Technology,7000,successful,1625,US
Film & Video,Film & Video,37000,failed,1,GB
Product Design,Design,15000,successful,74,US
Gadgets,Technology,15000,canceled,83,AU
Fashion,Fashion,500,successful,8,US
Product Design,Design,5000,failed,17,AU
Product Design,Design,3000,successful,162,US
Tabletop Games,Games,7500,canceled,17,US
Film & Video,Film & Video,10000,failed,9,GB
Publishing,Publishing,250,failed,6,US
Shorts,Film & Video,2500,failed,6,US
Publishing,Publishing,350,canceled,5,US
Food,Food,300,successful,13,US
Restaurants,Food,15000,canceled,0,US
Thrillers,Film & Video,5000,failed,3,US
Hip-Hop,Music,1000,canceled,0,US
Jazz,Music,800,successful,57,US
Playing Cards,Games,500,successful,146,GB
Rock,Music,5000,failed,0,US
Performance Art,Art,5500,successful,88,US
Photography,Photography,8000,canceled,0,US
Shorts,Film & Video,1100,successful,10,US
Software,Technology,2500,successful,1212,US
Poetry,Publishing,2500,failed,1,US
Rock,Music,5000,successful,66,US
Product Design,Design,60000,canceled,75,US
Photography,Photography,1500,failed,20,US
Pop,Music,1500,failed,6,GB
Apparel,Fashion,1000,failed,4,US
Indie Rock,Music,50000,failed,7,US
Audio,Journalism,1075,successful,51,US
Technology,Technology,350,successful,9,US
Electronic Music,Music,700000,failed,1,US
Glass,Crafts,25000,successful,133,US
Performances,Dance,3000,failed,2,US
Conceptual Art,Art,1600,successful,32,US
Farmer's Markets,Food,5000,failed,6,US
Music,Music,70,canceled,1,NL
Shorts,Film & Video,1500,successful,62,US
Photography,Photography,16000,failed,1,US
Community Gardens,Food,75,successful,1,US
Narrative Film,Film & Video,1000,failed,4,US
Comics,Comics,12500,successful,103,US
Rock,Music,4000,failed,7,US
Narrative Film,Film & Video,1700,canceled,0,US
Shorts,Film & Video,5000,canceled,2,GB
Tabletop Games,Games,5000,successful,101,US
Fiction,Publishing,350,failed,3,US
Software,Technology,52500,canceled,0,US
Faith,Music,35000,failed,2,US
Indie Rock,Music,250,failed,7,US
Fiction,Publishing,1500,failed,5,US
Sculpture,Art,2000,failed,0,US
Product Design,Design,5500,successful,30,US
Painting,Art,150,canceled,0,GB
Film & Video,Film & Video,365,successful,14,US
Fashion,Fashion,500,canceled,0,GB
Food Trucks,Food,60000,canceled,0,US
Tabletop Games,Games,15000,successful,2899,US
Shorts,Film & Video,600,successful,32,US
Publishing,Publishing,15,canceled,0,GB
Restaurants,Food,1000,successful,26,US
Hip-Hop,Music,5000,failed,1,US
Video Games,Games,6000,failed,23,US
Faith,Music,8000,failed,21,CA
People,Photography,30000,successful,102,US
Gadgets,Technology,80000,failed,36,US
Shorts,Film & Video,500,successful,46,US
Children's Books,Publishing,2500,failed,2,US
Food,Food,12000,successful,74,US
Comedy,Film & Video,10000,failed,1,US
Film & Video,Film & Video,12000,successful,87,US
Indie Rock,Music,10000,successful,139,US
Tabletop Games,Games,1500,successful,156,NZ
Television,Film & Video,35000,failed,2,FR
Hip-Hop,Music,14462,failed,0,US
Mixed Media,Art,2000,canceled,6,US
Product Design,Design,22000,successful,321,US
Small Batch,Food,200,failed,1,US
Video Games,Games,36000,failed,459,US
Sculpture,Art,3500,successful,59,US
Comic Books,Comics,850,successful,48,US
Art,Art,30000,canceled,14,US
World Music,Music,8550,failed,2,US
Video Games,Games,10000,failed,8,US
Fiction,Publishing,5000,failed,1,US
Performance Art,Art,800,failed,6,US
Hardware,Technology,6500,failed,50,US
Playing Cards,Games,2000,failed,6,US
Rock,Music,1000,failed,10,US
Theater,Theater,2000,failed,5,US
Accessories,Fashion,2300,failed,0,US
Product Design,Design,45000,canceled,55,NZ
Product Design,Design,12000,canceled,36,US
Shorts,Film & Video,5000,failed,21,US
Music,Music,5700,failed,14,US
Technology,Technology,1400,successful,30,US
Pop,Music,1737,successful,15,US
Crafts,Crafts,2000,failed,3,US
Photography,Photography,7500,successful,172,US
Theater,Theater,20,successful,2,GB
Tabletop Games,Games,8000,canceled,17,CA
Painting,Art,3000,successful,44,US
Product Design,Design,10000,failed,13,US
Photography,Photography,3500,successful,75,US
Documentary,Film & Video,65000,failed,162,US
Art,Art,10,successful,1,HK
Country & Folk,Music,2500,failed,17,US
Restaurants,Food,10000,failed,16,US
Shorts,Film & Video,2500,successful,33,US
Art Books,Publishing,9500,failed,92,US
Product Design,Design,20000,failed,14,US
World Music,Music,20000,canceled,0,US
Art,Art,14000,failed,12,CA
Rock,Music,1200,failed,8,US
Web,Journalism,5000,failed,1,IT
Product Design,Design,100,successful,582,US
Vegan,Food,5000,failed,2,GB
Cookbooks,Food,6000,canceled,8,US
Webseries,Film & Video,1099,failed,3,US
Webseries,Film & Video,18000,canceled,0,US
Publishing,Publishing,2000,successful,209,US
Webseries,Film & Video,2000,successful,32,US
Product Design,Design,60000,failed,199,US
Film & Video,Film & Video,1200,successful,5,US
Technology,Technology,25000,failed,362,GB
Webseries,Film & Video,50000,failed,0,US
Illustration,Art,3500,failed,2,CA
Product Design,Design,30000,failed,13,US
Music,Music,10000,failed,0,US
Performance Art,Art,3500,successful,21,US
Drama,Film & Video,25000,successful,224,US
Video Games,Games,6000,failed,6,US
Webseries,Film & Video,400,successful,19,US
Anthologies,Publishing,350,canceled,0,US
Crafts,Crafts,50000,failed,9,US
Nonfiction,Publishing,10000,successful,508,US
Narrative Film,Film & Video,3000,failed,9,US
Pop,Music,1800,failed,19,US
Documentary,Film & Video,20000,failed,0,US
Animation,Film & Video,20000,canceled,13,GB
Crafts,Crafts,12000,failed,2,US
Restaurants,Food,27500,successful,295,US
Apps,Technology,6000,failed,2,US
Music,Music,1000,successful,18,US
Web,Technology,10000,successful,36,US
Games,Games,5000,successful,51,US
Product Design,Design,15000,failed,6,US
Music,Music,7000,failed,7,US
Fashion,Fashion,25000,failed,1,US
Web,Technology,27000,canceled,0,GB
Product Design,Design,5000,failed,3,US
Shorts,Film & Video,3000,successful,61,US
Country & Folk,Music,1000,successful,30,US
Fashion,Fashion,175,successful,11,US
Documentary,Film & Video,8000,canceled,1,US
Food,Food,30000,canceled,0,CH
Documentary,Film & Video,20000,failed,10,CA
Art,Art,8000,canceled,4,CA
Photography,Photography,5000,failed,2,US
Webseries,Film & Video,25000,failed,4,US
Live Games,Games,1200,failed,8,US
Cookbooks,Food,200,failed,5,CA
Classical Music,Music,12500,failed,0,US
Product Design,Design,8000,successful,454,US
Classical Music,Music,8000,successful,50,US
Children's Books,Publishing,8950,failed,27,US
Pop,Music,3500,successful,106,US
Pop,Music,3500,failed,3,US
Family,Film & Video,20000,failed,0,GB
Product Design,Design,18000,failed,54,US
Photobooks,Photography,11701,failed,15,NL
Documentary,Film & Video,5000,successful,87,US
Publishing,Publishing,5000,failed,0,US
Apparel,Fashion,4000,failed,1,US
Television,Film & Video,500000,failed,1,US
Apparel,Fashion,25000,failed,29,US
Community Gardens,Food,15000,successful,168,US
Shorts,Film & Video,20000,successful,158,US
Photography,Photography,32000,failed,1,US
Painting,Art,400,failed,5,GB
Product Design,Design,140000,failed,76,US
Narrative Film,Film & Video,1000,failed,0,US
Comics,Comics,1891,failed,8,US
Illustration,Art,100,successful,3,GB
Comics,Comics,10000,failed,107,US
Webseries,Film & Video,5000,failed,0,US
Academic,Publishing,1500,failed,4,US
Product Design,Design,12000,successful,207,US
Latin,Music,18000,failed,1,MX
Documentary,Film & Video,25000,successful,130,US
Technology,Technology,1000,failed,0,FR
Photography,Photography,20000,successful,341,US
Country & Folk,Music,1800,successful,23,US
Fashion,Fashion,1400,successful,11,US
Narrative Film,Film & Video,85000,failed,37,US
Art,Art,350,failed,0,US
Food,Food,20000,failed,0,US
Music,Music,800,successful,27,US
Apps,Technology,7800,failed,8,AU
Film & Video,Film & Video,5000,successful,102,US
Nonfiction,Publishing,3500,successful,78,US
Rock,Music,1000,successful,17,US
Documentary,Film & Video,60000,successful,276,US
Rock,Music,5500,successful,57,US
Apps,Technology,29000,failed,261,DE
Fashion,Fashion,15000,failed,2,AU
Farms,Food,20000,failed,1,US
Animation,Film & Video,57000,failed,7,US
Apps,Technology,9000,failed,1,US
Children's Books,Publishing,7000,failed,20,US
Art,Art,2100,successful,37,US
Web,Technology,15000,failed,2,US
Sculpture,Art,3500,failed,6,GB
Restaurants,Food,10000,failed,2,US
Country & Folk,Music,10000,failed,2,US
Calendars,Publishing,5,successful,4,US
Fiction,Publishing,5000,failed,0,US
Food,Food,50,canceled,1,GB
Radio & Podcasts,Publishing,1500,failed,0,US
Jewelry,Fashion,400,successful,18,US
Farmer's Markets,Food,7500,failed,21,US
Music,Music,1000,successful,24,US
Conceptual Art,Art,6000,failed,16,US
Farms,Food,50000,failed,6,US
Graphic Novels,Comics,10000,failed,3,AU
Shorts,Film & Video,7000,canceled,0,GB
Accessories,Fashion,500,failed,1,US
Music,Music,300,failed,0,US
Photobooks,Photography,2000,failed,3,GB
Video Games,Games,3000,failed,4,US
Drinks,Food,12000,failed,8,US
Jazz,Music,30000,canceled,55,US
Apps,Technology,375000,failed,28,DK
Tabletop Games,Games,5000,successful,162,US
Publishing,Publishing,9000,failed,2,US
Installations,Art,50000,successful,26,MX
Art,Art,3000,successful,67,US
Film & Video,Film & Video,10000,failed,3,US
Photography,Photography,2000,failed,0,US
Nonfiction,Publishing,3000,failed,0,US
Art,Art,3000,failed,4,US
Academic,Publishing,700,successful,14,US
Rock,Music,25000,successful,562,US
Shorts,Film & Video,5000,successful,132,US
Apps,Technology,45000,failed,4,US
Documentary,Film & Video,6000,successful,38,AU
Product Design,Design,15000,successful,304,US
Documentary,Film & Video,10000,successful,176,US
Web,Technology,5000,canceled,24,GB
Accessories,Fashion,7500,failed,1,US
Fashion,Fashion,5500,failed,1,US
Graphic Novels,Comics,2500,failed,3,GB
Sound,Technology,50000,successful,3029,US
Comic Books,Comics,12500,failed,27,US
Indie Rock,Music,2000,successful,38,US
Design,Design,2000,canceled,0,US
Food Trucks,Food,35000,canceled,0,US
Cookbooks,Food,3000,failed,4,US
Narrative Film,Film & Video,100000,failed,67,US
Product Design,Design,45000,failed,15,US
Film & Video,Film & Video,8500,failed,3,NZ
Apps,Technology,35000,canceled,58,US
Faith,Music,1350,successful,8,US
Painting,Art,400,successful,13,AU
Periodicals,Publishing,350,failed,0,US
Installations,Art,850,successful,19,US
Fashion,Fashion,5000,successful,68,US
Technology,Technology,7000,failed,4,US
Comics,Comics,7000,failed,12,US
Rock,Music,15000,failed,1,US
Electronic Music,Music,1000,successful,36,US
Fashion,Fashion,250,failed,2,US
Shorts,Film & Video,5750,successful,72,US
Film & Video,Film & Video,200000,failed,1,US
Video Games,Games,22000,successful,5910,US
Music,Music,50000,failed,2,US
Drinks,Food,10000,canceled,0,GB
Animation,Film & Video,400,successful,7,US
Places,Photography,10000,failed,0,US
Film & Video,Film & Video,17500,failed,63,CA
Fiction,Publishing,9500,failed,9,US
DIY Electronics,Technology,2000,successful,117,US
Video Games,Games,20000,canceled,3,US
Shorts,Film & Video,12000,successful,76,US
Drinks,Food,30000,failed,17,US
Documentary,Film & Video,4100,successful,61,US
World Music,Music,3000,successful,84,US
Children's Books,Publishing,2600,successful,175,US
Software,Technology,100000,canceled,1,US
Nonfiction,Publishing,1650,failed,17,US
Music Videos,Film & Video,275000,successful,73,MX
Fantasy,Film & Video,500000,failed,0,CH
Indie Rock,Music,12021,successful,185,US
Fiction,Publishing,7500,failed,1,US
Animation,Film & Video,120000,successful,2429,US
Video Games,Games,28000,failed,432,US
Documentary,Film & Video,3000,failed,1,US
Documentary,Film & Video,125000,successful,765,CA
Apparel,Fashion,5000,successful,70,DE
Theater,Theater,7000,successful,65,US
Tabletop Games,Games,3000,successful,1065,IT
Music,Music,5000,successful,67,US
Software,Technology,150000,failed,0,US
Installations,Art,4000,failed,31,US
Comic Books,Comics,800,successful,57,US
Nonfiction,Publishing,3000,failed,0,US
Food,Food,150000,failed,0,US
Thrillers,Film & Video,40000,failed,1,US
Video Games,Games,500,successful,34,US
Technology,Technology,26000,failed,108,IT
Food,Food,10,failed,0,GB
Music,Music,3500,successful,68,US
Comic Books,Comics,15000,failed,0,US
Food,Food,8550,failed,18,US
Product Design,Design,7500,failed,9,US
Indie Rock,Music,5000,failed,2,US
Shorts,Film & Video,3500,successful,45,US
Technology,Technology,9900,failed,2,US
Theater,Theater,4000,failed,5,US
Narrative Film,Film & Video,200000,failed,17,US
Photobooks,Photography,6000,failed,16,US
Shorts,Film & Video,12500,successful,152,US
Product Design,Design,5500,failed,23,US
Tabletop Games,Games,25000,canceled,86,AU
Dance,Dance,4500,successful,149,US
Fiction,Publishing,2894,failed,22,US
Documentary,Film & Video,25000,failed,0,US
Product Design,Design,850,successful,18,NZ
Horror,Film & Video,1,canceled,0,US
Sculpture,Art,300,successful,4,US
Product Design,Design,15000,failed,6,US
Photography,Photography,14000,successful,184,DE
Woodworking,Crafts,1500,successful,64,US
Indie Rock,Music,1000,successful,24,US
Fashion,Fashion,5000,failed,1,US
Vegan,Food,1000,successful,63,GB
Product Design,Design,1500,successful,34,US
Nonfiction,Publishing,5200,failed,38,US
DIY Electronics,Technology,5000,successful,3579,US
Kids,Music,500,successful,5,US
Games,Games,500000,failed,11,US
Crafts,Crafts,1300,successful,63,US
Hardware,Technology,18000,failed,3,US
Mixed Media,Art,7800,failed,7,US
Film & Video,Film & Video,22000,successful,139,US
Art Books,Publishing,850,successful,147,US
Literary Journals,Publishing,4000,successful,116,US
Product Design,Design,7000,failed,2,FR
Tabletop Games,Games,20000,canceled,2,US
Illustration,Art,5000,successful,355,US
Robots,Technology,186508,failed,40,US
Mixed Media,Art,2000,canceled,0,US
Music,Music,10000,successful,117,US
Public Art,Art,20,successful,4,US
Classical Music,Music,8000,successful,80,US
Digital Art,Art,2500,failed,0,US
Pop,Music,10000,failed,0,US
Playing Cards,Games,2600,successful,211,GB
Translations,Publishing,1750,canceled,1,ES
Food,Food,7000,failed,0,US
Restaurants,Food,25000,failed,4,US
Art,Art,3000,successful,82,GB
Fiction,Publishing,600,successful,22,US
Public Art,Art,5000,failed,2,US
Fashion,Fashion,200,canceled,2,GB
Nature,Photography,15000,failed,4,US
Music,Music,1000,successful,84,US
Documentary,Film & Video,5000,failed,2,US
Product Design,Design,30000,successful,164,US
Apparel,Fashion,10000,successful,273,US
Apps,Technology,10000,failed,0,US
Apps,Technology,20000,failed,0,GB
Web,Technology,10000,failed,7,GB
Spaces,Dance,2000,successful,22,US
Sculpture,Art,12500,successful,120,CA
Classical Music,Music,6000,failed,11,IE
Documentary,Film & Video,70000,successful,1240,US
Food Trucks,Food,5000,successful,47,US
Documentary,Film & Video,50000,successful,247,US
Country & Folk,Music,3000,failed,2,US
Nonfiction,Publishing,60000,failed,0,US
Narrative Film,Film & Video,2000,successful,65,US
Children's Books,Publishing,40000,failed,27,SE
Mixed Media,Art,7000,failed,2,US
Documentary,Film & Video,2500,successful,70,US
Film & Video,Film & Video,3500,failed,8,US
