customerid,tenure,phoneservice,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
6467-CHFZW,47,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.35,4749.15,True
8665-UTDHZ,1,No,DSL,Month-to-month,No,Electronic check,30.20,30.20,True
5248-YGIJN,72,Yes,DSL,Two year,Yes,Credit card (automatic),90.25,6369.45,False
8773-HHUOZ,17,Yes,DSL,Month-to-month,Yes,Mailed check,64.70,1093.10,True
3841-NFECX,71,Yes,Fiber optic,Two year,Yes,Credit card (automatic),96.35,6766.95,False
4929-XIHVW,2,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),95.50,181.65,False
6827-IEAUQ,27,Yes,DSL,One year,No,Mailed check,66.15,1874.45,False
7310-EGVHZ,1,Yes,No,Month-to-month,No,Bank transfer (automatic),20.20,20.20,False
3413-BMNZE,1,Yes,DSL,Month-to-month,No,Bank transfer (automatic),45.25,45.25,False
6234-RAAPL,72,Yes,Fiber optic,Two year,No,Bank transfer (automatic),99.90,7251.70,False
6047-YHPVI,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.70,316.90,True
6572-ADKRS,46,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),74.80,3548.30,False
5380-WJKOV,34,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.35,3549.25,True
8168-UQWWF,11,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.40,True
8865-TNMNX,10,Yes,DSL,One year,No,Mailed check,49.55,475.70,False
9489-DEDVP,70,Yes,DSL,Two year,Yes,Credit card (automatic),69.20,4872.35,False
9867-JCZSP,17,Yes,No,One year,No,Mailed check,20.75,418.25,False
4671-VJLCL,63,Yes,DSL,Two year,Yes,Credit card (automatic),79.85,4861.45,False
4080-IIARD,13,Yes,DSL,Month-to-month,Yes,Electronic check,76.20,981.45,False
3714-NTNFO,49,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.50,3906.70,False
5948-UJZLF,2,Yes,DSL,Month-to-month,No,Mailed check,49.25,97.00,False
7760-OYPDY,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.65,144.15,True
7639-LIAYI,52,Yes,DSL,Two year,Yes,Credit card (automatic),79.75,4217.80,False
2954-PIBKO,69,Yes,DSL,Two year,Yes,Credit card (automatic),64.15,4254.10,False
8012-SOUDQ,43,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.25,3838.75,False
9420-LOJKX,15,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.10,1426.40,True
6575-SUVOI,25,Yes,DSL,Month-to-month,Yes,Credit card (automatic),69.50,1752.65,False
7495-OOKFY,8,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.65,633.30,True
4667-QONEA,60,Yes,DSL,One year,Yes,Credit card (automatic),74.85,4456.35,False
1658-BYGOY,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.45,1752.55,True
8769-KKTPH,63,Yes,Fiber optic,One year,Yes,Credit card (automatic),99.65,6311.20,False
5067-XJQFU,66,Yes,Fiber optic,One year,Yes,Electronic check,108.45,7076.35,False
3957-SQXML,34,Yes,No,Two year,No,Credit card (automatic),24.95,894.30,False
5954-BDFSG,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),107.50,7853.70,False
0434-CSFON,47,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.50,4707.10,False
1215-FIGMP,60,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),89.90,5450.70,False
0526-SXDJP,72,No,DSL,Two year,No,Bank transfer (automatic),42.10,2962.00,False
0557-ASKVU,18,Yes,DSL,One year,Yes,Credit card (automatic),54.40,957.10,False
5698-BQJOH,9,Yes,Fiber optic,Month-to-month,No,Electronic check,94.40,857.25,True
5122-CYFXA,3,Yes,DSL,Month-to-month,Yes,Electronic check,75.30,244.10,False
8627-ZYGSZ,47,Yes,Fiber optic,One year,Yes,Electronic check,78.90,3650.35,False
3410-YOQBQ,31,Yes,DSL,Two year,No,Mailed check,79.20,2497.20,False
3170-NMYVV,50,Yes,No,Two year,No,Bank transfer (automatic),20.15,930.90,False
7410-OIEDU,10,Yes,Fiber optic,Month-to-month,Yes,Mailed check,79.85,887.35,False
2273-QCKXA,1,Yes,DSL,Month-to-month,No,Mailed check,49.05,49.05,False
0731-EBJQB,52,Yes,No,One year,Yes,Electronic check,20.40,1090.65,False
1891-QRQSA,64,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),111.60,7099.00,False
8028-PNXHQ,62,Yes,No,Two year,Yes,Bank transfer (automatic),24.25,1424.60,False
5630-AHZIL,3,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),64.50,177.40,False
2673-CXQEU,56,Yes,Fiber optic,One year,No,Electronic check,110.50,6139.50,False
6416-JNVRK,46,Yes,DSL,One year,No,Credit card (automatic),55.65,2688.85,False
5590-ZSKRV,8,Yes,DSL,Month-to-month,No,Mailed check,54.65,482.25,False
0191-ZHSKZ,30,Yes,DSL,Month-to-month,Yes,Electronic check,74.75,2111.30,False
3887-PBQAO,45,Yes,No,One year,Yes,Credit card (automatic),25.90,1216.60,False
5919-TMRGD,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.35,79.35,True
8108-UXRQN,11,No,DSL,Month-to-month,No,Electronic check,50.55,565.35,False
9191-MYQKX,7,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.15,496.90,True
9919-YLNNG,42,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.80,4327.50,False
0318-ZOPWS,49,Yes,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,False
4445-ZJNMU,9,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.30,918.75,False
4808-YNLEU,35,Yes,DSL,One year,Yes,Bank transfer (automatic),62.15,2215.45,False
1862-QRWPE,48,Yes,No,Two year,No,Bank transfer (automatic),20.65,1057.00,False
2796-NNUFI,46,Yes,No,Two year,Yes,Mailed check,19.95,927.10,False
3016-KSVCP,29,No,DSL,Month-to-month,No,Mailed check,33.75,1009.25,False
4767-HZZHQ,30,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),82.05,2570.20,False
2424-WVHPL,1,Yes,Fiber optic,Month-to-month,No,Electronic check,74.70,74.70,False
7233-PAHHL,66,Yes,DSL,Two year,Yes,Mailed check,84.00,5714.25,False
6067-NGCEU,65,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),111.05,7107.00,False
9848-JQJTX,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),100.90,7459.05,False
8637-XJIVR,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.95,927.35,True
9803-FTJCG,71,Yes,DSL,One year,Yes,Credit card (automatic),66.85,4748.70,False
0278-YXOOG,5,Yes,No,Month-to-month,No,Mailed check,21.05,113.85,True
3212-KXOCR,52,Yes,No,Two year,No,Bank transfer (automatic),21.00,1107.20,False
4598-XLKNJ,25,Yes,Fiber optic,Month-to-month,Yes,Electronic check,98.50,2514.50,True
6380-ARCEH,1,Yes,No,Month-to-month,No,Mailed check,20.20,20.20,False
3679-XASPY,1,Yes,No,Month-to-month,No,Electronic check,19.45,19.45,False
7123-WQUHX,38,Yes,Fiber optic,One year,No,Bank transfer (automatic),95.00,3605.60,False
5386-THSLQ,66,No,DSL,One year,No,Bank transfer (automatic),45.55,3027.25,False
3192-NQECA,68,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),110.00,7611.85,True
6180-YBIQI,5,No,DSL,Month-to-month,No,Mailed check,24.30,100.20,False
6728-DKUCO,72,Yes,Fiber optic,One year,Yes,Electronic check,104.15,7303.05,False
9750-BOOHV,32,No,DSL,One year,No,Mailed check,30.15,927.65,False
8597-CWYHH,43,Yes,Fiber optic,One year,No,Mailed check,94.35,3921.30,False
2848-YXSMW,72,Yes,No,Two year,No,Credit card (automatic),19.40,1363.25,False
0486-HECZI,55,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.75,5238.90,True
4549-ZDQYY,52,Yes,DSL,One year,No,Credit card (automatic),57.95,3042.25,False
5712-AHQNN,43,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.65,3954.10,False
4846-WHAFZ,37,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.50,2868.15,True
5256-SKJGO,64,No,DSL,Two year,Yes,Electronic check,54.60,3423.50,False
3071-VBYPO,3,Yes,Fiber optic,Month-to-month,No,Electronic check,89.85,248.40,False
9560-BBZXK,36,No,DSL,Two year,No,Bank transfer (automatic),31.05,1126.35,False
5299-RULOA,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.25,1064.65,True
8402-OOOHJ,41,Yes,No,Two year,No,Mailed check,20.65,835.15,False
9445-ZUEQE,27,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.20,2151.60,False
1091-SOZGA,56,Yes,Fiber optic,One year,Yes,Credit card (automatic),99.80,5515.45,False
2928-HLDBA,6,Yes,No,Month-to-month,No,Mailed check,20.70,112.75,False
0404-SWRVG,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.40,229.55,True
6497-TILVL,7,Yes,DSL,Month-to-month,No,Mailed check,50.70,350.35,False
7219-TLZHO,4,Yes,No,Month-to-month,No,Mailed check,20.85,62.90,False
4622-YNKIJ,33,Yes,Fiber optic,Two year,Yes,Electronic check,88.95,3027.65,False
4412-YLTKF,27,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.05,2135.50,True
6734-PSBAW,72,Yes,No,Two year,Yes,Bank transfer (automatic),23.55,1723.95,False
3930-ZGWVE,1,Yes,No,Month-to-month,No,Mailed check,19.75,19.75,False
2639-UGMAZ,71,No,DSL,One year,Yes,Electronic check,56.45,3985.35,False
2876-GZYZC,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.95,1215.65,False
6207-WIOLX,25,No,DSL,Month-to-month,Yes,Credit card (automatic),58.60,1502.65,True
8587-XYZSF,67,Yes,DSL,Two year,No,Bank transfer (automatic),50.55,3260.10,False
3091-FYHKI,1,No,DSL,Month-to-month,Yes,Electronic check,35.45,35.45,True
2372-HWUHI,2,Yes,DSL,Month-to-month,No,Electronic check,44.35,81.25,True
7799-LGRDP,43,Yes,No,Two year,Yes,Credit card (automatic),25.70,1188.20,False
7850-VWJUU,23,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.00,1778.50,False
3774-VBNXY,64,Yes,No,Two year,No,Mailed check,20.20,1277.75,False
6217-KDYWC,57,Yes,No,Two year,Yes,Mailed check,19.60,1170.55,False
0390-DCFDQ,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,70.45,70.45,True
3146-MSEGF,72,Yes,DSL,Two year,Yes,Credit card (automatic),88.05,6425.65,False
4080-OGPJL,8,Yes,DSL,Month-to-month,No,Electronic check,71.15,563.65,True
1095-WGNGG,61,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),101.05,5971.25,False
2636-SJDOU,64,Yes,Fiber optic,One year,Yes,Credit card (automatic),84.30,5289.05,False
1131-QQZEB,71,Yes,No,Two year,No,Bank transfer (automatic),23.95,1756.20,False
5716-EZXZN,65,Yes,Fiber optic,Two year,Yes,Credit card (automatic),99.05,6416.70,False
6837-BJYDQ,3,Yes,No,One year,No,Mailed check,19.60,61.35,False
2135-RXIHG,1,Yes,DSL,Month-to-month,Yes,Electronic check,45.65,45.65,True
6440-DKQGE,30,Yes,DSL,One year,No,Credit card (automatic),64.50,1929.95,False
3466-BYAVD,15,Yes,DSL,Month-to-month,Yes,Mailed check,69.50,1071.40,False
3780-YVMFA,8,Yes,DSL,Month-to-month,Yes,Electronic check,68.55,564.35,False
3874-EQOEP,7,Yes,Fiber optic,Month-to-month,No,Mailed check,95.00,655.50,True
1679-JRFBR,70,Yes,Fiber optic,One year,Yes,Credit card (automatic),108.15,7930.55,False
9073-ZZIAY,62,Yes,DSL,Two year,No,Electronic check,86.10,5215.25,False
3077-RSNTJ,6,Yes,No,Month-to-month,No,Mailed check,19.70,113.50,False
6551-GNYDG,14,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.90,1152.80,False
9167-APMXZ,22,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,False
2749-CTKAJ,22,Yes,No,One year,No,Mailed check,20.15,419.90,False
6371-NZYEG,16,Yes,DSL,Two year,No,Mailed check,64.25,1024.00,False
7554-NEWDD,10,Yes,No,Two year,No,Bank transfer (automatic),25.70,251.60,False
8992-VONJD,13,Yes,DSL,Month-to-month,Yes,Electronic check,56.00,764.55,False
0867-MKZVY,20,Yes,Fiber optic,Month-to-month,No,Electronic check,82.40,1592.35,True
4482-EWFMI,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.70,135.20,False
4648-YPBTM,53,Yes,DSL,Two year,Yes,Bank transfer (automatic),73.90,3958.25,False
2907-ILJBN,11,Yes,No,One year,No,Mailed check,20.60,233.90,False
6345-FZOQH,69,Yes,No,Two year,No,Mailed check,19.90,1363.45,False
3376-BMGFE,4,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),70.90,273.00,True
5997-OPVFA,72,Yes,DSL,Two year,Yes,Bank transfer (automatic),89.05,6254.45,False
3445-HXXGF,58,No,DSL,Month-to-month,Yes,Electronic check,45.30,2651.20,True
1159-WFSGR,16,Yes,No,Month-to-month,No,Electronic check,20.40,321.40,False
7654-YWJUF,43,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),84.25,3539.25,False
1875-QIVME,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.40,242.80,True
6727-IOTLZ,14,Yes,DSL,Two year,No,Mailed check,81.95,1181.75,False
0691-JVSYA,53,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),94.85,5000.20,True
5918-VUKWP,32,Yes,No,One year,No,Bank transfer (automatic),20.55,654.55,False
1744-JHKYS,34,Yes,No,Month-to-month,No,Electronic check,24.70,780.20,False
2656-FMOKZ,15,Yes,Fiber optic,Month-to-month,Yes,Mailed check,74.45,1145.70,True
2070-FNEXE,7,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),76.45,503.60,True
5947-SGKCL,15,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,False
3712-PKXZA,61,Yes,No,One year,Yes,Credit card (automatic),20.55,1252.00,False
6317-YPKDH,1,No,DSL,Month-to-month,No,Bank transfer (automatic),29.95,29.95,True
6582-OIVSP,1,Yes,DSL,Month-to-month,No,Mailed check,45.30,45.30,False
9367-WXLCH,8,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),84.50,662.65,True
5524-KHNJP,33,Yes,DSL,One year,No,Credit card (automatic),74.75,2453.30,False
1918-ZBFQJ,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.25,1111.65,True
1024-GUALD,1,No,DSL,Month-to-month,Yes,Electronic check,24.80,24.80,True
4827-USJHP,20,Yes,DSL,Month-to-month,Yes,Mailed check,51.80,1023.85,False
8167-GJLRN,3,No,DSL,Month-to-month,No,Electronic check,30.40,82.15,False
0956-SYCWG,13,Yes,No,One year,No,Electronic check,19.65,244.80,False
8017-UVSZU,40,Yes,DSL,Month-to-month,No,Credit card (automatic),56.60,2379.10,False
7100-FQPRV,43,Yes,DSL,One year,Yes,Credit card (automatic),71.90,3173.35,False
2472-OVKUP,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.00,531.00,True
2984-RGEYA,69,Yes,No,Two year,No,Bank transfer (automatic),19.75,1375.40,False
9680-NIAUV,72,Yes,Fiber optic,Two year,No,Credit card (automatic),109.70,8129.30,False
2146-EGVDT,59,Yes,No,Two year,No,Credit card (automatic),19.30,1192.70,False
2604-IJPDU,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.55,1901.65,False
9178-JHUVJ,24,Yes,No,Two year,Yes,Bank transfer (automatic),24.10,587.40,False
6168-YBYNP,59,Yes,Fiber optic,Month-to-month,Yes,Electronic check,111.35,6519.75,False
7255-SSFBC,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),112.25,8041.65,False
3645-DEYGF,1,Yes,No,Month-to-month,No,Mailed check,20.75,20.75,False
9323-HGFWY,27,Yes,Fiber optic,One year,Yes,Credit card (automatic),101.90,2681.15,False
8544-GOQSH,14,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.05,1112.30,False
3363-DTIVD,71,Yes,Fiber optic,Two year,No,Electronic check,105.55,7405.50,False
7018-WBJNK,13,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),78.30,1033.95,False
9142-KZXOP,44,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),68.85,2958.95,False
7674-YTAFD,33,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),79.95,2684.85,False
6348-SNFUS,72,No,DSL,Two year,Yes,Credit card (automatic),55.45,4179.20,False
1285-OKIPP,1,Yes,Fiber optic,Month-to-month,No,Electronic check,79.90,79.90,True
7825-ECJRF,19,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.60,1934.45,True
1347-KTTTA,64,Yes,Fiber optic,One year,Yes,Credit card (automatic),102.45,6654.10,False
7841-TZDMQ,2,Yes,DSL,Month-to-month,Yes,Credit card (automatic),46.00,84.50,True
4195-NZGTA,1,No,DSL,Month-to-month,No,Electronic check,25.25,25.25,False
7157-SMCFK,61,Yes,No,Two year,No,Mailed check,19.75,1124.20,False
4709-LKHYG,29,Yes,No,One year,No,Electronic check,20.00,540.05,False
2504-DSHIH,23,Yes,Fiber optic,Month-to-month,No,Electronic check,86.80,1975.85,False
0699-NDKJM,57,No,DSL,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,False
9286-BHDQG,72,No,DSL,Two year,No,Credit card (automatic),45.25,3139.80,False
0230-WEQUW,66,No,DSL,Two year,Yes,Bank transfer (automatic),56.60,3789.20,False
2040-LDIWQ,65,Yes,DSL,Two year,Yes,Bank transfer (automatic),84.20,5324.50,False
6496-JDSSB,8,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.00,624.60,False
9408-SSNVZ,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.15,268.35,True
4443-EMBNA,71,Yes,No,Two year,No,Bank transfer (automatic),24.75,1836.90,False
6469-MRVET,1,Yes,No,One year,Yes,Electronic check,20.20,20.20,False
0742-MOABM,4,Yes,DSL,Month-to-month,No,Mailed check,50.05,179.35,True
5961-VUSRV,12,Yes,No,One year,Yes,Bank transfer (automatic),19.35,219.35,False
6778-JFCMK,24,No,DSL,One year,Yes,Mailed check,50.60,1288.75,False
6341-JVQGF,31,Yes,DSL,One year,Yes,Mailed check,81.15,2545.75,False
2232-DMLXU,1,Yes,DSL,Month-to-month,No,Mailed check,55.20,55.20,True
4811-JBUVU,30,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.90,2723.15,False
0945-TSONX,47,Yes,DSL,Two year,Yes,Credit card (automatic),85.30,4107.25,False
2651-ZCBXV,54,Yes,Fiber optic,Two year,Yes,Credit card (automatic),108.00,5760.65,False
3316-UWXUY,50,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),93.50,4747.50,False
8937-RDTHP,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,84.60,84.60,True
7083-MIOPC,72,Yes,No,Two year,No,Credit card (automatic),20.25,1566.90,False
1984-GPTEH,29,Yes,No,Month-to-month,No,Electronic check,25.15,702.00,False
1251-KRREG,2,Yes,DSL,Month-to-month,Yes,Mailed check,54.40,114.10,True
0621-JFHOL,10,No,DSL,Two year,Yes,Mailed check,29.60,299.05,False
9903-LYSAB,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.15,1305.95,False
0094-OIFMO,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.00,1120.30,True
9227-UAQFT,16,Yes,No,Two year,No,Mailed check,19.75,284.35,False
7301-ABVAD,72,Yes,DSL,Two year,No,Bank transfer (automatic),86.60,6350.50,False
6614-FHDBO,72,Yes,Fiber optic,Two year,No,Bank transfer (automatic),109.20,7878.30,False
7576-ASEJU,41,Yes,DSL,One year,Yes,Credit card (automatic),74.70,3187.65,False
9058-HRZSV,65,Yes,Fiber optic,Month-to-month,No,Electronic check,94.40,6126.15,False
4522-AKYLR,13,Yes,DSL,Month-to-month,Yes,Electronic check,54.80,731.30,False
0221-WMXNQ,4,Yes,Fiber optic,Month-to-month,No,Electronic check,75.35,273.40,False
0303-UNCIP,41,Yes,DSL,One year,No,Mailed check,65.00,2531.80,False
9947-OTFQU,15,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.40,1074.30,True
0322-YINQP,1,Yes,DSL,Month-to-month,Yes,Mailed check,48.55,48.55,True
0959-WHOKV,42,Yes,Fiber optic,One year,Yes,Electronic check,99.00,4298.45,False
4075-JFPGR,51,Yes,Fiber optic,One year,Yes,Electronic check,93.50,4619.55,False
4629-NRXKX,2,Yes,Fiber optic,Month-to-month,No,Electronic check,70.40,147.15,True
9514-JDSKI,1,No,DSL,Month-to-month,No,Electronic check,40.20,40.20,True
3282-ZISZV,32,Yes,DSL,One year,No,Credit card (automatic),83.70,2633.30,False
3675-YDUPJ,10,Yes,No,Month-to-month,Yes,Mailed check,19.85,193.05,False
4111-BNXIF,67,No,DSL,Two year,Yes,Electronic check,59.55,4103.90,False
7017-VFHAY,61,Yes,Fiber optic,Two year,No,Credit card (automatic),115.10,7008.15,False
6655-LHBYW,50,Yes,Fiber optic,One year,No,Credit card (automatic),114.35,5791.10,False
4959-JOSRX,2,Yes,DSL,Month-to-month,Yes,Credit card (automatic),44.60,80.55,True
5046-NUHWD,29,No,DSL,Month-to-month,Yes,Electronic check,45.00,1228.65,False
7273-TEFQD,3,No,DSL,Month-to-month,Yes,Electronic check,41.15,132.20,True
3606-TWKGI,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.90,1364.30,True
7529-ZDFXI,57,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.85,4925.35,False
7605-BDWDC,31,No,DSL,Two year,Yes,Bank transfer (automatic),49.85,1520.10,False
1950-KSVVJ,45,Yes,Fiber optic,One year,No,Mailed check,113.30,5032.25,False
0123-CRBRT,61,Yes,DSL,Two year,No,Mailed check,88.10,5526.75,False
6292-TOSSS,50,Yes,No,Two year,No,Bank transfer (automatic),24.90,1195.25,False
3197-ARFOY,19,Yes,Fiber optic,Month-to-month,Yes,Mailed check,105.00,2007.25,False
6323-AYBRX,59,Yes,No,Two year,No,Mailed check,19.35,1099.60,True
7014-ZZXAW,71,Yes,No,Two year,Yes,Credit card (automatic),24.25,1732.95,False
4385-GZQXV,16,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.45,1511.20,True
7633-MVPUY,57,Yes,DSL,Two year,Yes,Electronic check,59.75,3450.15,False
6366-ZGQGL,1,No,DSL,Month-to-month,No,Bank transfer (automatic),24.80,24.80,True
4716-HHKQH,20,Yes,Fiber optic,Month-to-month,No,Electronic check,107.05,2172.05,False
5940-AHUHD,1,Yes,Fiber optic,Month-to-month,No,Mailed check,70.60,70.60,True
6432-TWQLB,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.40,401.10,True
4484-GLZOU,52,Yes,Fiber optic,Month-to-month,Yes,Electronic check,105.05,5624.85,True
3179-GBRWV,21,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.80,False
8645-KWHJO,14,No,DSL,Month-to-month,Yes,Electronic check,55.00,771.95,False
4130-MZLCC,5,Yes,DSL,Month-to-month,No,Bank transfer (automatic),50.55,244.75,False
0314-TKOSI,6,Yes,DSL,Month-to-month,No,Mailed check,55.15,322.90,False
8229-MYEJZ,10,Yes,DSL,Month-to-month,No,Electronic check,51.20,498.25,False
2080-SRCDE,1,Yes,No,Month-to-month,No,Mailed check,25.40,25.40,False
9577-WJVCQ,68,Yes,DSL,Month-to-month,No,Mailed check,54.45,3687.75,False
9512-UIBFX,18,Yes,Fiber optic,Month-to-month,No,Mailed check,95.15,1779.95,True
6202-DYYFX,22,Yes,Fiber optic,One year,Yes,Credit card (automatic),76.00,1783.60,False
3808-HFKDE,20,Yes,DSL,Month-to-month,Yes,Electronic check,44.35,927.15,False
5583-SXDAG,1,Yes,Fiber optic,Month-to-month,No,Electronic check,70.00,70.00,True
3488-PGMQJ,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.50,606.55,True
3580-REOAC,10,Yes,DSL,Month-to-month,Yes,Credit card (automatic),44.85,435.40,True
7534-BFESC,24,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.10,1712.70,True
3727-OWVYD,35,Yes,DSL,One year,No,Mailed check,61.20,2021.20,False
2294-SALNE,23,Yes,Fiber optic,One year,No,Mailed check,86.80,1940.80,False
4847-TAJYI,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.35,567.80,False
1563-IWQEX,12,Yes,No,Month-to-month,No,Mailed check,19.70,220.35,False
8203-XJZRC,1,Yes,No,Month-to-month,No,Mailed check,20.25,20.25,False
6556-DBKZF,71,Yes,Fiber optic,Two year,No,Electronic check,76.05,5436.45,False
