Manufacturer Name,NDC Number,Drug Product Description,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Description,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,General Comments,Supporting Documents
Pfizer,00409111201,Busulfan Injection 60 mg/10mL (6mg/mL),2019-02-28,7786.0000,,1,70000,,,,,,,"Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c)  Comment regarding Field 7 - The number entered in field 7 is the estimated number of patients in the U.S. for 2010.  The projected number of patients in the U.S. for 2030 is 144,000. Patients with this condition may or may not use this product. Source: https://www.cancernetwork.com/chronic-myeloid-leukemia/chronic-myeloid-leukemia  Comment regarding Fields 10-13 - The product was not acquired.",
Pfizer,00069197540,VYNDAQEL® (tafamidis meglumine) 20MG CAP 4X30 BLST US,2019-05-06,187500.0000,,1,,1,1,2010-10-06,,1,"On October 6, 2010, we completed our acquisition of FoldRx Pharmaceuticals, Inc. (FoldRx), a privately held drug discovery and clinical development company, whose portfolio included clinical and preclinical programs for investigational compounds to treat diseases caused by protein misfolding. The total consideration for the acquisition was approximately $400 million, which consisted of an upfront payment to FoldRx’s shareholders of about $200 million and contingent consideration with an estimated acquisition-date fair value of about $200 million. The contingent consideration consists of up to $455 million in additional payments that are contingent upon the attainment of future regulatory and commercial milestones.","Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c).   Comment regarding Field 7 - ATTR-CM is significantly under or misdiagnosed, and as a result, it is difficult to characterize prevalence. Based on our internal estimates and existing literature, we believe U.S. prevalence is approximately 100,000 with a diagnosis range of approximately 1-2%.",
Pfizer,00069873030,VYNDAMAX™ 61MG CAP 3X10 BLST US,2019-08-27,18750.0000,,1,3000,,,2010-10-06,,1,"On October 6, 2010, we completed our acquisition of FoldRx Pharmaceuticals, Inc. (FoldRx), a privately held drug discovery and clinical development company, whose portfolio included clinical and preclinical programs for investigational compounds to treat diseases caused by protein misfolding. The total consideration for the acquisition was approximately $400 million, which consisted of an upfront payment to FoldRx’s shareholders of about $200 million and contingent consideration with an estimated acquisition-date fair value of about $200 million. The contingent consideration consists of up to $455 million in additional payments that are contingent upon the attainment of future regulatory and commercial milestones.","Comment regarding Field 5 - Pfizer does not believe the Marketing/Pricing Plan information is publicly available and has not released this information in the public domain. Accordingly, Pfizer is limiting its response to this item pursuant to Cal. Health & Safety Code § 127681(c).   Comment regarding Field 7 - ATTR-CM is significantly under or misdiagnosed, and as a result, it is difficult to characterize prevalence. Based on our internal estimates and existing literature, we believe U.S. prevalence is approximately 100,000 with a diagnosis range of approximately 3%.",
Sanofi,05846802271,Cablivi (caplacizumab-yhdp),2019-04-02,7300.0000,"Marketing initiatives include print and digital media,  engagement at scientific meetings attended by HCPs most likely to manage patients with acquired thrombotic thrombocytopenic purpura (aTTP), materials to be used by sales representatives to share information on caplacizumab with prescribers, and materials to educate patients about aTTP.  Sanofi’s commitment to pricing rests on three principles: a holistic assessment of value when setting launch prices, year-over-year price increases that are limited to National Health Expenditure projections, and disclose our aggregate gross and net prices changes to provide greater transparency about the pricing of our medicines.   These comprehensive principles were drafted to address questions around the price of medicines in the United States. Our goal is to make our medicines accessible and affordable to all patients.   We share concerns about the affordability of medicines, and we believe deeply in the important role we play in providing treatments for serious illnesses. We are determined to do our part in pricing our medicines with greater transparency and according to their value, while continuing to advance scientific knowledge and bringing life-saving treatments to patients worldwide.",,1800,,1,,,,,"Ablynx, a Sanofi Company, was acquired by Sanofi in 2018.",
Janssen,50458002802,SPRAVATO  Estekamine Nasal Spray 56mg (2X28mg),2019-03-08,590.0000,"While specific marketing and pricing plans are not available in the public domain, generally we are marketing in the US with print distribution and digital advertising in the mental health community, as well as promoting to appropriate healthcare professionals, systems of care and behavioral health clinics who treat individuals living with treatment resistant depression.  The pricing plan has WAC set at $590 per package of 2 inhalers.  The list price of SPRAVATO™ is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  SPRAVATO™ will also be discounted as required under the 340B program, the Federal Supply Schedule, and other government programs.  Internationally, we are pursuing regulatory approvals for SPRAVATO for the treatment of treatment resistant depression. No approvals have been granted at this time.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed SPRAVATO is not available in the public domain, according to the National Institute of Mental Health, there are approximately  16.2 million patients with major depressive disorder (MDD) in the United States, and approximately 1/3 of MDD patients have treatment resistant depression (TRD). SPRAVATO will be clinically appropriate for a subset of patients with TRD.",
Janssen,50458002803,SPRAVATO  Estekamine Nasal Spray 84mg (3X28mg),2019-03-08,885.0000,"While specific marketing and pricing plans are not available in the public domain, generally we are marketing in the US with print distribution and digital advertising in the mental health community, as well as promoting to appropriate healthcare professionals, systems of care and behavioral health clinics who treat individuals living with treatment resistant depression.  The pricing plan has WAC set at $885 per package of 3 inhalers.  The list price of SPRAVATO™ is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  SPRAVATO™ will also be discounted as required under the 340B program, the Federal Supply Schedule, and other government programs.  Internationally, we are pursuing regulatory approvals for SPRAVATO for the treatment of treatment resistant depression. No approvals have been granted at this time.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed SPRAVATO is not available in the public domain, according to the National Institute of Mental Health, there are approximately  16.2 million patients with major depressive disorder (MDD) in the United States, and approximately 1/3 of MDD patients have treatment resistant depression (TRD). SPRAVATO will be clinically appropriate for a subset of patients with TRD.",
Janssen,59676003056,BALVERSA Erdafitinib 3mg 56 tablets,2019-04-15,15120.0000,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 3mg 56 tablets at $15,120.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis.  Balversa was developed by Janssen.",
Janssen,59676003084,BALVERSA Erdafitinib 3mg 84 tablets,2019-04-15,22680.0000,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 3mg 84 tablets at $22,680.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",
Janssen,59676004028,BALVERSA Erdafitinib  4mg 28 tablets,2019-04-15,10080.0000,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 4mg 28 tablets at $10,080.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",
Janssen,59676004056,BALVERSA Erdafitinib 4mg 56 tablets,2019-04-15,20160.0000,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 4mg 56 tablets at $20,160.00.   The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",
Janssen,59676005028,BALVERSA  Erdafitinib 5mg 28 tablets,2019-04-15,12600.0000,"While specific marketing and pricing plans are not available in the public domain, generally we plan to market in the US and promote to appropriate healthcare professionals who treat individuals living with metastatic urothelial cancer (mUC).  The pricing plan has WAC set for 5mg 28 tablets at $12,600.00.  The list price of BALVERSA is not reflective of discounts and rebates which may be available through Medicaid, Medicare, and commercial insurance.  BALVERSA will also be discounted as required under the  Federal Supply Schedule, and other government programs.  There are no International approvals for BALVERSA.",,,1,1,,,,,"While Janssen's estimated volume of patients who may be prescribed BALVERSA is not available in the public domain, BALVERSA is approved specifically for the treatment of patients with locally mUC harboring FGFR3 or FGFR2 genetic alterations. In the U.S., it is estimated that up to 3,000 people with urothelial carcinoma will test FGFR positive on an annual basis. Balversa was developed by Janssen.",
Teva Pharmaceuticals USA,00093765256,VARDENAFIL HCL TABLETS 2.5MG 30,2019-01-03,704.5900,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",
Teva Pharmaceuticals USA,00093765356,VARDENAFIL HCL TABLETS 5MG 30,2019-01-03,704.5900,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",
Teva Pharmaceuticals USA,00093765456,VARDENAFIL HCL TABLETS 10MG 30,2019-01-03,704.5900,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",
Teva Pharmaceuticals USA,00093765556,VARDENAFIL HCL TABLETS 20MG 30,2019-01-03,704.5900,,1,101361,,,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Projected count of 101,361 patients in 2018, based on IQVIA data.",
Teva Pharmaceuticals USA,00591385101,VIGABATRIN 500MG TABLETS 100,2019-02-06,11487.3000,,1,5000,,1,,,,Acquisition date and acquisition price not applicable; Teva developed this product.,"Estimated count of approximately 5,000 patients per year.",
Teva Pharmaceuticals USA,45963045430,DEFERASIROX 125MG TABLETS 30,2019-03-22,750.9900,,1,900,,,,,,,"Projected count of approximately 900 patients annually, based on IQVIA data as of February 2019.  Also, acquisition date and acquisition price not applicable; Teva developed this product.",
Teva Pharmaceuticals USA,45963045530,DEFERASIROX 250MG TABLETS 30,2019-03-22,1501.9500,,1,900,,,,,,,"Projected count of approximately 900 patients annually, based on IQVIA data as of February 2019.  Also, acquisition date and acquisition price not applicable; Teva developed this product.",
Teva Pharmaceuticals USA,45963045630,DEFERASIROX 500MG TABLETS 30,2019-03-22,3003.8400,,1,900,,,,,,,"Projected count of approximately 900 patients annually, based on IQVIA data as of February 2019.  Also, acquisition date and acquisition price not applicable; Teva developed this product.",
Teva Pharmaceuticals USA,00591240530,AMBRISENTAN 5MG FC TABLETS 30,2019-04-30,2766.8100,,1,650,,1,,,,,"Estimated patient volume of approximately 650 patients per month for 5mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00591240630,AMBRISENTAN 10MG FC TABLETS 30,2019-04-30,2766.8100,,1,1600,,1,,,,,"Estimated patient volume of approximately 1,600 patients per month for 10mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00093526398,SOLIFENACIN SUCCINATE TABLETS 5MG 90,2019-04-22,999.2400,,1,80000,,,,,,,"Estimated patient volume of approximately 80,000 patients per month for 5mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00093526498,SOLIFENACIN SUCCINATE TABLETS 10MG 90,2019-04-22,999.2400,,1,86000,,,,,,,"Estimated patient volume of approximately 86,000 patients per month for 10mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00093766356,ERLOTINIB HCL TABLETS EQ 100MG 30,2019-05-09,6455.8200,,1,660,,,,,,,"Estimated patient volume of approximately 660 patients per month for 100mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00093766456,ERLOTINIB HCL TABLETS EQ 150MG 30,2019-05-09,7302.0100,,1,1120,,,,,,,"Estimated patient volume of approximately 1,120 patients per month for 150mg dosage, based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,45963041850,RANOLAZINE 500MG ER TABLETS 500,2019-05-28,711.2500,,1,145000,,,,,,,"Approximately 145,000 total prescriptions per month, based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,45963041950,RANOLAZINE 1000MG ER TABLETS 500,2019-05-28,1167.7500,,1,145000,,,,,,,"Approximately 145,000 total prescriptions per month, based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00591251160,BOSENTAN 62.5MG FC TABLETS 60,2019-06-20,1326.0000,,1,375,,1,,,,,"Average of approximately 375 total prescriptions per month (both dosages), based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00591251260,BOSENTAN 125MG FC TABLETS 60,2019-06-20,1326.0000,,1,375,,1,,,,,"Average of approximately 375 total prescriptions per month (both dosages), based on IQVIA data.  Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00591417101,PENCILLAMINE 250MG CAPSULES 100,2019-06-24,22626.9900,,1,310,,1,,,,,"Average of approximately 310 prescriptions per month, based on IQVIA data.   Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00093306634,ICATIBANT ACETATE 10MG/ML PFS SOL 3ML 1,2019-07-15,5083.2600,,1,720,,,,,,,"Average of approximately 720 total prescriptions per month (both pack sizes), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00093306693,ICATIBANT ACETATE 10MG/ML PFS SOL 3ML 3,2019-07-15,15249.7800,,1,720,,,,,,,"Average of approximately 720 total prescriptions per month (both pack sizes), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00591455022,DOXYCYCLINE HYCLATE DR TABLET 50MG 120,2019-08-14,1134.6000,,1,270,,,,,,,"Average of approximately 270 total prescriptions per month (both dosages), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00591457560,DOXYCYCLINE HYCLATE DR TABLET 200MG 60,2019-08-14,2100.5100,,1,270,,,,,,,"Average of approximately 270 total prescriptions per month (both dosages), based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.  Note that although Teva's WAC on NDC 00591457560 was $2,100.51 at launch, Teva subsequently lowered the price, one week later (on August 21, 2019), to $1,500.37.  See supporting documents:  (1) Teva's original communication to customers and the compendia, sent on Aug. 14, announcing WAC on NDC 00591457560 at $2,100.51, and (2) Teva's follow-on communication to customers and compendia, sent on Aug. 21, noting an updated WAC on NDC 00591457560 of $1,500.37 (backdated to August 14).",https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/Q3-New-Drug-Public-Release-Supporting-Documents/Teva/2019-08-14-Doxy-Hyclate-DR-New-Product-Notification.pdf
Teva Pharmaceuticals USA,00591501902,FULVESTRANT INJ 250MG/50ML INJ PFS SOL,2019-08-22,1675.3500,,1,345,,,,,,,"Average of approximately 345 prescriptions per month, based on IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00093363020,ACYCLOVIR CREAM 5% 5GM,2019-08-29,729.4700,,1,8400,,,2016-08-02,-1.0000,,"This product (the ""Product"") is an authorized generic version of Zovirax® Cream 5%.  Watson Laboratories, Inc. (“Watson”) had an option to sell the Product, and on August 2, 2016, Teva acquired that option – which Teva would later exercise – along with Watson itself, as part of a broader deal involving other assets.  The option’s acquisition price was incorporated into that broader deal’s overall purchase price and, thus, there was no one particular price that Teva paid to acquire the option.    We were, nonetheless, required to enter a non-zero value in the ""Acquisition Price"" field, and so we entered $33,430,000,000, which is the total amount that Teva paid (along with roughly 100 million shares of Teva stock) in connection with the broader deal referenced above.  Once again, and to be clear, this total is not representative of the amount that Teva paid for the option in particular.","Average of approximately 8,400 prescriptions per month, based on IQVIA data.",
Teva Pharmaceuticals USA,00703066601,TREPROSTINIL SODIUM INJ  1MG/ML 20ML 1,2019-09-30,1209.6500,,1,550,,,,,,,"Average of approximately 550 prescriptions per month (all dosages), based on historic IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00703067601,TREPROSTINIL SODIUM INJ  2.5MG/ML 20ML 1,2019-09-30,3024.1400,,1,550,,,,,,,"Average of approximately 550 prescriptions per month (all dosages), based on historic IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00703068601,TREPROSTINIL SODIUM INJ  5MG/ML 20ML 1,2019-09-30,6048.2700,,1,550,,,,,,,"Average of approximately 550 prescriptions per month (all dosages), based on historic IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
Teva Pharmaceuticals USA,00703069601,TREPROSTINIL SODIUM INJ  10MG/ML 20ML 1,2019-09-30,12096.5400,,1,550,,,,,,,"Average of approximately 550 prescriptions per month (all dosages), based on historic IQVIA data. Acquisition questions not applicable (and acquisition fields therefore left blank); Teva developed the product.",
"Acorda Therapeutics, Inc.",10144034260,INBRIJA (levodopa inhalation powder),2019-02-25,950.0000,"o INBRIJA™ is currently only approved in the United States and is under review of the CHMP in Europe. INBRIJA is a unique drug-device combination, consisting of a proprietary inhaled formulation of levodopa delivered by a breath-actuated inhaler. INBRIJA is the first and only inhaled levodopa formulation to treat symptoms of OFF periods as needed in patients taking a carbidopa/levodopa regimen.   o Acorda markets INBRIJA in the U.S. through our own specialty sales force. The marketing plan includes multiple comprehensive education and training initiatives, provided by our specialty sales force and account directors, for all stakeholders including health care practitioner (HCP) offices, patients, caregivers and Specialty Pharmacies. This includes training materials such as demonstration kits for HCP offices and specialty pharmacies and start kits for patients. People with Parkinson’s can suffer from cognitive challenges which make it very difficult for them to navigate the complex health insurance environment. Acorda has an active patient hub in place (Prescription Support Services) to assist patients in that health insurance navigation process to support access to INBRIJA. Our internal team of Regional Reimbursement Directors work directly with HCP offices on specific patient cases to help gain access through their insurance. Acorda offers a free sampling program to help patients and physicians evaluate effectiveness and tolerability, and a free drug Patient Assistance Program for uninsured patients with demonstrated financial hardship who satisfy eligibility criteria. Acorda provides co-pay assistance for commercially insured patients. INBRIJA is a specialty drug distributed through a closed network of specialty pharmacies under contract with Acorda.   o When considering the price of INBRIJA one must consider that INBRIJA required over 20 years to develop, from the time the inhaled ARCUS technology was invented at MIT at the lab of Bob Langer. The ARCUS technology transforms molecules in a light, dry powder allowing delivery of an effective therapeutic dose of INBRIJA through the lungs. INBRIJA is a major innovation; it is one of only three pulmonary-delivered treatments approved for a non-pulmonary indication. The innovation of ARCUS – the dry powder inhalation system – allows for pulmonary delivery that bypasses the challenges that can be associated with oral levodopa that can lead to variability in absorption, contributing to OFF periods.",,350000,,,2014-10-22,525000000.0000,,,"Please see additional narrative on columns 10 & 11:  o Acorda Therapeutics, Inc. (“Acorda”) acquired Civitas Therapeutics, Inc. (“Civitas”), which had been developing CVT-301 (now known as INBRIJA), on October 22, 2014, for an aggregate purchase price of $525 million plus combined acquisition costs of approximately $12 million.  Civitas is now a wholly-owned subisidiary of Acorda.  Prior to its acquisition by Acorda, Civitas had been developing INBRIJA from 2010 to 2014, before which the product was being developed by Alkermes.  The ARCUS technology upon which INBRIJA is based had previously been developed in the MIT laboratory of Bob Langer.  o Of the $525 million aggregate purchase price paid by Acorda to acquire Civitas, $423 million was allocated to INBRIJA based on the estimated fair value of INBRIJA at the date of acquisition.  The balance of the aggregate purchase price was allocated to acquired property and equipment and other tangible current and non-current assets.  The amount of the aggregate purchase price paid in excess of the estimated fair value of the assets acquired and liabilities assumed was allocated to goodwill.  Because INBRIJA required further clinical testing and development before it could be the subject of a New Drug Application to the FDA, Acorda funded additional investment above the cost that was required to acquire Civitas.",
Bayer,50419039501,Nubeqa®  (darolutamide) 300 mg tablet,2019-08-05,11550.0000,,1,200,,1,2014-06-02,68000000.0000,,Entered into agreement with Orion to co-develop on 6/2/2014 for $68 million upfront.  Baye rwill commercialize in the US and pay $45 million at first US sale and ongoing royalties not publicly disclosed.,,
Sandoz Inc.,00781342080,TREPROSTINIL INJECTION 20MG/20ML (1MG/ML) 1LIVI,2019-03-25,1145.9900,Sandoz Inc. currently only sells treprostinil in the U.S. Sandoz Inc.'s commercialization partner has sales resources in the field detailing this product to healthcare providers. The WAC is priced lower than the brand WAC.,,52000,,,,,,,"Estimated number of patients is approximately 52,000, based on patients that have been diagnosed with Pulmonary Arterial Hypertension (PAH) in the United States. Source: (DataMonitor) 2016  Acquisition date and acquisition price not applicable; Sandoz Inc. did not acquire the product",https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/Q2-New-Drug-Public-Release-Supporting-Documents/California-SB17-New-Drug-Report-Submission-ID-90776.pdf
Sandoz Inc.,00781342580,TREPROSTINIL INJECTION 50MG/20ML (2.5MG/ML) 1LIVI,2019-03-25,2864.9700,Sandoz Inc. currently only sells treprostinil in the U.S. Sandoz Inc.'s commercialization partner has sales resources in the field detailing this product to healthcare providers. The WAC is priced lower than the brand WAC.,,52000,,,,,,,"Estimated number of patients is approximately 52,000, based on patients that have been diagnosed with Pulmonary Arterial Hypertension (PAH) in the United States. Source: (DataMonitor) 2016   Acquisition date and acquisition price not applicable; Sandoz Inc. did not acquire the product",https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/Q2-New-Drug-Public-Release-Supporting-Documents/California-SB17-New-Drug-Report-Submission-ID-90776.pdf
